,date,open,close,high,low,volume,code
174,2016-08-19,100.007,100.006,100.009,100.001,696014.0,511990
175,2016-08-22,99.992,99.999,100.001,99.99,542410.0,511990
176,2016-08-23,99.996,99.994,99.999,99.992,644671.0,511990
177,2016-08-24,99.995,99.994,99.995,99.991,577331.0,511990
178,2016-08-25,99.988,99.998,100.0,99.987,761486.0,511990
179,2016-08-26,100.0,100.007,100.008,100.0,787114.0,511990
180,2016-08-29,99.995,100.001,100.003,99.993,628091.0,511990
181,2016-08-30,99.999,99.998,100.0,99.995,790852.0,511990
182,2016-08-31,99.999,99.998,100.0,99.993,854780.0,511990
183,2016-09-01,99.997,100.003,100.004,99.996,564501.0,511990
184,2016-09-02,100.003,100.004,100.007,100.001,795911.0,511990
185,2016-09-05,99.995,100.001,100.002,99.994,632487.0,511990
186,2016-09-06,99.998,99.999,100.001,99.996,750635.0,511990
187,2016-09-07,99.997,100.0,100.001,99.996,718227.0,511990
188,2016-09-08,99.999,100.003,100.004,99.998,756844.0,511990
189,2016-09-09,100.003,100.008,100.009,100.002,548350.0,511990
190,2016-09-12,99.995,99.996,99.999,99.994,821015.0,511990
191,2016-09-13,99.997,100.002,100.004,99.992,891353.0,511990
192,2016-09-14,100.01,100.022,100.028,100.01,753543.0,511990
193,2016-09-19,99.998,99.999,100.006,99.996,838874.0,511990
194,2016-09-20,99.998,99.995,100.0,99.992,669146.0,511990
195,2016-09-21,99.997,99.998,99.999,99.989,691176.0,511990
196,2016-09-22,99.995,99.98,99.996,99.97,933436.0,511990
197,2016-09-23,100.001,99.996,100.008,99.995,961380.0,511990
198,2016-09-26,99.993,99.98,99.997,99.97,1060871.0,511990
199,2016-09-27,99.989,99.985,99.992,99.967,1037545.0,511990
200,2016-09-28,99.978,100.001,100.004,99.968,820809.0,511990
201,2016-09-29,100.0,99.996,100.015,99.984,923758.0,511990
202,2016-09-30,100.048,100.068,100.078,100.043,1022892.0,511990
203,2016-10-10,99.995,99.993,99.999,99.99,1091964.0,511990
204,2016-10-11,99.995,99.997,99.997,99.991,902079.0,511990
205,2016-10-12,99.995,100.006,100.01,99.993,771987.0,511990
206,2016-10-13,99.999,100.003,100.007,99.995,1020741.0,511990
207,2016-10-14,100.009,100.007,100.013,100.0,1060284.0,511990
208,2016-10-17,99.997,100.006,100.007,99.996,874757.0,511990
209,2016-10-18,99.999,99.992,100.001,99.99,1101343.0,511990
210,2016-10-19,99.992,99.996,99.997,99.991,1226316.0,511990
211,2016-10-20,99.996,99.99,99.998,99.988,1158441.0,511990
212,2016-10-21,100.003,99.994,100.006,99.992,1159857.0,511990
213,2016-10-24,99.993,99.984,99.993,99.977,974721.0,511990
214,2016-10-25,99.98,99.984,99.989,99.973,815837.0,511990
215,2016-10-26,99.986,99.976,99.987,99.969,982788.0,511990
216,2016-10-27,99.976,99.964,99.976,99.949,1090048.0,511990
217,2016-10-28,99.99,99.99,99.999,99.987,973066.0,511990
218,2016-10-31,99.983,99.993,99.994,99.983,813609.0,511990
219,2016-11-01,99.99,99.994,99.996,99.987,908709.0,511990
220,2016-11-02,99.992,100.006,100.007,99.992,948959.0,511990
221,2016-11-03,100.0,100.007,100.008,100.0,1073208.0,511990
222,2016-11-04,100.008,100.015,100.018,100.006,835553.0,511990
223,2016-11-07,100.002,100.008,100.02,100.0,954995.0,511990
224,2016-11-08,100.005,100.004,100.007,99.998,1191177.0,511990
225,2016-11-09,100.001,100.0,100.003,99.994,1061956.0,511990
226,2016-11-10,99.994,99.999,100.0,99.992,1224012.0,511990
227,2016-11-11,100.002,99.991,100.005,99.986,1487803.0,511990
228,2016-11-14,99.98,99.985,99.987,99.978,1066682.0,511990
229,2016-11-15,99.985,99.994,99.999,99.98,969810.0,511990
230,2016-11-16,99.991,99.988,99.994,99.985,872530.0,511990
231,2016-11-17,99.988,99.99,99.994,99.985,1211648.0,511990
232,2016-11-18,99.995,99.998,100.002,99.99,1382468.0,511990
233,2016-11-21,99.99,99.99,99.995,99.987,1531492.0,511990
234,2016-11-22,99.99,99.992,99.994,99.988,2505846.0,511990
235,2016-11-23,99.99,99.994,99.996,99.985,6143597.0,511990
236,2016-11-24,99.99,99.985,99.991,99.982,3535688.0,511990
237,2016-11-25,99.997,99.994,99.997,99.992,6329756.0,511990
238,2016-11-28,99.984,99.986,99.99,99.976,5966799.0,511990
