,date,open,close,high,low,volume,code
71,2016-03-21,2156.95,2193.39,2214.64,2154.49,78264665.0,sz50
72,2016-03-22,2181.98,2173.26,2196.37,2167.43,50531245.0,sz50
73,2016-03-23,2170.16,2175.28,2186.02,2159.46,35247664.0,sz50
74,2016-03-24,2161.17,2137.59,2161.17,2137.19,33879927.0,sz50
75,2016-03-25,2137.15,2149.2,2156.8,2135.53,22781049.0,sz50
76,2016-03-28,2152.81,2123.03,2166.92,2116.98,25905906.0,sz50
77,2016-03-29,2127.8,2106.86,2133.81,2100.92,25654604.0,sz50
78,2016-03-30,2124.53,2157.53,2160.5,2124.09,35633829.0,sz50
79,2016-03-31,2166.42,2156.54,2171.79,2149.24,32281837.0,sz50
80,2016-04-01,2156.78,2167.78,2168.33,2124.13,34903898.0,sz50
81,2016-04-05,2151.37,2180.26,2186.92,2147.09,38874521.0,sz50
82,2016-04-06,2167.45,2168.04,2176.9,2156.52,28349678.0,sz50
83,2016-04-07,2174.88,2139.4,2177.12,2138.33,25833044.0,sz50
84,2016-04-08,2125.45,2123.8,2132.73,2114.26,22822747.0,sz50
85,2016-04-11,2140.56,2148.44,2167.65,2140.56,30212504.0,sz50
86,2016-04-12,2147.81,2143.9,2150.57,2135.29,19392198.0,sz50
87,2016-04-13,2157.21,2171.31,2197.74,2157.21,51114468.0,sz50
88,2016-04-14,2183.12,2178.87,2190.87,2166.63,24878856.0,sz50
89,2016-04-15,2182.11,2182.07,2190.73,2172.97,23818860.0,sz50
90,2016-04-18,2166.0,2158.23,2168.9,2154.38,24410918.0,sz50
91,2016-04-19,2169.89,2163.61,2173.09,2156.18,18390650.0,sz50
92,2016-04-20,2166.28,2154.89,2169.65,2093.82,47565258.0,sz50
93,2016-04-21,2138.29,2147.72,2171.45,2129.91,30628951.0,sz50
94,2016-04-22,2135.92,2157.72,2161.8,2133.81,20198569.0,sz50
95,2016-04-25,2149.25,2148.28,2156.53,2130.3,17156071.0,sz50
96,2016-04-26,2146.41,2155.79,2163.24,2140.57,15444290.0,sz50
97,2016-04-27,2157.86,2145.38,2159.12,2143.9,14520801.0,sz50
98,2016-04-28,2149.07,2142.06,2155.57,2131.86,17358106.0,sz50
99,2016-04-29,2136.84,2135.51,2146.32,2134.19,15948538.0,sz50
100,2016-05-03,2136.2,2158.27,2167.73,2131.38,25815215.0,sz50
101,2016-05-04,2152.43,2152.93,2159.65,2147.76,17426893.0,sz50
102,2016-05-05,2149.47,2152.88,2155.47,2145.11,14777452.0,sz50
103,2016-05-06,2152.5,2107.01,2153.87,2106.44,24642275.0,sz50
104,2016-05-09,2100.64,2072.47,2100.64,2064.69,24022253.0,sz50
105,2016-05-10,2061.99,2072.38,2084.7,2061.99,17165746.0,sz50
106,2016-05-11,2078.29,2078.41,2089.12,2068.65,18058633.0,sz50
107,2016-05-12,2067.75,2084.84,2089.65,2055.51,17927530.0,sz50
108,2016-05-13,2079.64,2076.19,2089.84,2072.26,15287869.0,sz50
